93975,68026
93975,69483
94298,69483
94298,70437
93447,70437
93447,71702
93255,71702
93255,72471
92092,72471
92092,73807
91997,73807
91997,74541
90844,74541
90844,75747
90491,75747
90491,76890
90014,76890
90014,77857
89265,77857
89265,78572
88186,78572
88186,79561
87489,79561
87489,80961
87282,80961
87282,81285
85786,81285
85786,82279
85089,82279
85089,83598
84715,83598
84715,84056
83449,84056
83449,85206
82869,85206
82869,85762
81730,85762
81730,86992
81183,86992
81183,87726
80201,87726
80201,88040
78902,88040
78902,89210
78253,89210
78253,89823
77189,89823
77189,90009
75855,90009
75855,90815
74933,90815
74933,91606
73991,91606
73991,92411
73044,92411
73044,92934
71938,92934
71938,93433
70822,93433
70822,93648
69581,93648
69581,94314
68546,94314
68546,95024
67517,95024
67517,94716
66105,94716
66105,95285
65025,95285
65025,96388
64097,96388
64097,96208
62773,96208
62773,96508
61596,96508
61596,96717
60399,96717
60399,96734
59166,96734
59166,97217
58025,97217
58025,97725
56872,97725
56872,97536
55620,97536
55620,97385
54388,97385
54388,97698
53201,97698
53201,97956
51999,97956
51999,98476
50792,98476
50792,97657
49571,97657
49571,97890
48355,97890
48355,98145
47124,98145
47124,98316
45883,98316
45883,97952
44687,97952
44687,97958
43453,97958
43453,97033
42361,97033
42361,96816
41173,96816
41173,97033
39892,97033
39892,96956
38657,96956
38657,96441
37528,96441
37528,96130
36350,96130
36350,95671
35217,95671
35217,95273
34069,95273
34069,95070
32845,95070
32845,94644
31699,94644
31699,93613
30817,93613
30817,93489
29542,93489
29542,93176
28337,93176
28337,92481
27321,92481
27321,91694
26364,91694
26364,90870
25443,90870
25443,90230
24418,90230
24418,89472
23473,89472
23473,88942
22372,88942
22372,88622
21100,88622
21100,87565
20378,87565
20378,86615
19591,86615
19591,86172
18377,86172
18377,85663
17192,85663
17192,84787
16331,84787
16331,83324
16070,83324
16070,82800
14866,82800
14866,82182
13727,82182
13727,80646
13644,80646
13644,80193
12282,80193
12282,79304
11429,79304
11429,78018
11116,78018
11116,77212
10142,77212
10142,75913
9901,75913
9901,74888
9258,74888
9258,74205
8022,74205
8022,73085
7511,73085
7511,71792
7349,71792
7349,70816
6580,70816
6580,69681
6128,69681
6128,68714
5284,68714
5284,67466
5106,67466
5106,66359
4578,66359
4578,65036
4680,65036
4680,63974
4016,63974
4016,62754
3859,62754
3859,61611
3430,61611
3430,60462
2997,60462
2997,59180
3198,59180
3198,57968
3115,57968
3115,56786
2871,56786
2871,55659
2129,55659
2129,54386
2631,54386
2631,53203
2260,53203
2260,51991
2244,51991
2244,50781
2169,50781
2169,50401
94699,50401
